full_name,html_url,description,owner,owner_url,stargazers_count,language,created_at,pushed_at,license,topics,open_issues_count
iDoka/awesome-canbus,https://github.com/iDoka/awesome-canbus,"Awesome CAN bus tools, hardware and resources",iDoka,https://github.com/iDoka,3271,,2020-11-16,2026-06-10T09:50:37Z,CC0-1.0,automotive;can-bus,
iDoka/awesome-automotive-can-id,https://github.com/iDoka/awesome-automotive-can-id,"Collection of CAN IDs and its payloads for various car brands/models",iDoka,https://github.com/iDoka,946,,2020-12-01,2026-01-27T12:21:28Z,CC0-1.0,can-ids,
nberlette/canbus,https://github.com/nberlette/canbus,"Controller Area Network (CAN) reference, wiki, and DBC files.",nberlette,https://github.com/nberlette,155,,2021-06-03,2025-07-22T09:49:52Z,MIT,dbc;reference,
